timestamps,src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,packet_size,cpu_percent,memory_percent,bytes_sent,bytes_recv,packet_rate,label
2025-06-25T09:16:48.299157,192.168.0.103,27.116.54.177,54150,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,1287,12.8,82.8,46586978,562918317,1,anomaly
2025-06-25T09:17:27.983988,,,,,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,24.3,81.7,46883218,569842993,1,anomaly
2025-06-25T09:23:08.258040,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,22.8,80.5,47695368,603489156,1,anomaly
2025-06-25T09:29:31.106956,27.116.54.177,192.168.0.103,443,45625,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,43.1,79.4,48844576,647497904,1,anomaly
2025-06-25T09:37:01.988691,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,16.0,78.6,50048128,700807697,1,anomaly
2025-06-25T09:37:02.529454,192.168.0.103,140.82.114.21,40378,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,1490,4.6,78.7,50055285,700807697,2,anomaly
2025-06-25T09:37:02.551023,192.168.0.103,140.82.114.21,40378,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,1490,28.0,78.7,50055285,700807697,3,normal
2025-06-25T09:37:02.575973,192.168.0.103,140.82.114.21,40378,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,1490,34.5,78.7,50055285,700807697,4,normal
2025-06-25T09:37:02.598388,192.168.0.103,140.82.114.21,40378,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,1490,34.6,78.7,50055285,700807697,5,normal
2025-06-25T09:37:02.627476,192.168.0.103,140.82.114.21,40378,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,1057,45.7,78.7,50055285,700807697,6,anomaly
2025-06-25T09:37:02.843161,140.82.114.21,192.168.0.103,443,40378,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,TCP,66,15.1,78.7,50055285,700807943,7,normal
2025-06-25T09:37:02.860242,140.82.114.21,192.168.0.103,443,40378,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,TCP,66,35.0,78.9,50055285,700807943,8,normal
2025-06-25T09:37:02.883886,140.82.114.21,192.168.0.103,443,40378,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,TCP,114,33.3,78.8,50055379,700807943,9,normal
2025-06-25T09:37:02.902882,192.168.0.103,140.82.114.21,40378,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,66,25.0,78.8,50055379,700807943,10,normal
2025-06-25T09:37:02.926593,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,51.7,78.8,50055379,700807985,11,anomaly
2025-06-25T09:37:03.098206,140.82.114.21,192.168.0.103,443,40378,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,TCP,529,5.4,78.8,50055473,700808514,11,normal
2025-06-25T09:37:03.114306,192.168.0.103,140.82.114.21,40378,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,66,21.1,78.8,50055473,700808514,12,normal
2025-06-25T09:37:03.933730,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,5.6,78.9,50055473,700808556,3,normal
2025-06-25T09:37:04.282693,192.168.0.103,35.161.30.125,47926,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,TCP,66,4.1,78.9,50055567,700808556,2,anomaly
2025-06-25T09:37:04.957753,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,5.3,78.9,50055567,700808598,2,anomaly
2025-06-25T09:37:05.981821,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,5.1,78.9,50055567,700808682,1,anomaly
2025-06-25T09:37:05.983782,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,0.0,78.9,50055567,700808682,2,anomaly
2025-06-25T09:37:07.005963,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,4.6,78.9,50055567,700808766,1,anomaly
2025-06-25T09:37:07.008204,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,0.0,78.9,50055567,700808766,2,anomaly
2025-06-25T09:37:08.836794,192.168.0.103,1.1.1.1,49425,53,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,94,3.5,78.9,50055689,700808766,1,anomaly
2025-06-25T09:37:08.857214,1.1.1.1,192.168.0.103,53,49425,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,141,20.8,78.9,50059056,700809077,2,anomaly
2025-06-25T09:37:08.880930,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,1287,30.0,78.9,50059056,700809144,3,normal
2025-06-25T09:37:08.900483,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,1292,22.7,78.9,50059056,700809144,4,normal
2025-06-25T09:37:08.929163,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,595,88.6,78.9,50060107,700876323,5,anomaly
2025-06-25T09:37:08.970480,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,170,100.0,79.0,50060852,700922835,6,anomaly
2025-06-25T09:37:09.002112,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,81,87.2,79.0,50061603,700992603,7,anomaly
2025-06-25T09:37:09.027381,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,67,69.0,79.1,50061813,700996479,8,anomaly
2025-06-25T09:37:09.055990,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1287,57.6,78.8,50061813,700996479,9,anomaly
2025-06-25T09:37:09.086043,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,67.6,78.2,50062972,701072707,10,anomaly
2025-06-25T09:37:09.108185,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,44.4,78.0,50064343,701137307,11,anomaly
2025-06-25T09:37:09.132609,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,42.9,77.8,50064448,701142475,12,anomaly
2025-06-25T09:37:09.152514,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,27.3,77.8,50064448,701142475,13,normal
2025-06-25T09:37:09.172862,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,36.0,77.8,50065298,701191342,14,normal
2025-06-25T09:37:09.207368,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,56.1,77.8,50065412,701192634,15,anomaly
2025-06-25T09:37:09.225240,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,27.3,77.8,50065412,701192634,16,normal
2025-06-25T09:37:09.245753,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,29.2,77.8,50066155,701248257,17,normal
2025-06-25T09:37:09.266454,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.4,77.8,50066786,701284433,18,normal
2025-06-25T09:37:09.285711,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,29.2,77.8,50066786,701284433,19,normal
2025-06-25T09:37:09.305042,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,26.1,77.9,50066786,701284433,20,normal
2025-06-25T09:37:09.324754,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,37.5,77.9,50067425,701315441,21,normal
2025-06-25T09:37:09.343425,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,28.6,77.9,50068684,701396837,22,normal
2025-06-25T09:37:09.365626,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,38.5,77.9,50069952,701497613,23,normal
2025-06-25T09:37:09.386734,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,24.0,77.9,50069952,701497613,24,normal
2025-06-25T09:37:09.408286,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.8,77.9,50070579,701568673,25,normal
2025-06-25T09:37:09.442287,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,61.9,77.8,50070893,701582885,26,anomaly
2025-06-25T09:37:09.472027,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,41.2,77.9,50070893,701582885,27,anomaly
2025-06-25T09:37:09.496197,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,27.6,77.9,50072505,701674451,28,normal
2025-06-25T09:37:09.513949,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,28.6,77.9,50073573,701748095,29,normal
2025-06-25T09:37:09.539867,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,34.4,77.9,50074222,701799775,30,normal
2025-06-25T09:37:09.559636,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,21.7,77.9,50074222,701799775,31,normal
2025-06-25T09:37:09.579093,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,25.0,77.9,50074330,701801067,32,normal
2025-06-25T09:37:09.601231,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,24.0,77.9,50074963,701868251,33,normal
2025-06-25T09:37:09.620629,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,25.0,77.9,50074963,701868251,34,normal
2025-06-25T09:37:09.643576,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,77,28.6,77.9,50074963,701868251,35,normal
2025-06-25T09:37:09.662648,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.4,77.9,50076229,701991231,36,normal
2025-06-25T09:37:09.692580,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,52.9,77.9,50077064,702059707,37,anomaly
